iter	Passed	Remaining
1299	20855	11230
1300	20867	11211
1301	20879	11193
1302	20891	11175
1303	20907	11159
1304	20924	11143
1305	20934	11124
1306	20946	11106
1307	20957	11087
1308	20966	11068
1309	20977	11049
1310	20987	11030
1311	21001	11012
1312	21012	10994
1313	21023	10975
1314	21035	10957
1315	21047	10939
1316	21058	10920
1317	21067	10901
1318	21081	10884
1319	21092	10865
1320	21102	10846
1321	21113	10828
1322	21124	10809
1323	21136	10791
1324	21145	10772
1325	21154	10752
1326	21165	10734
1327	21176	10715
1328	21185	10696
1329	21198	10678
1330	21211	10661
1331	21221	10642
1332	21231	10623
1333	21245	10606
1334	21260	10590
1335	21270	10571
1336	21281	10553
1337	21294	10535
1338	21303	10516
1339	21315	10498
1340	21326	10480
1341	21338	10462
1342	21351	10445
1343	21366	10428
1344	21376	10409
1345	21387	10391
1346	21398	10373
1347	21410	10355
1348	21422	10337
1349	21434	10320
1350	21448	10303
1351	21461	10286
1352	21472	10268
1353	21487	10251
1354	21500	10234
1355	21514	10217
1356	21525	10199
1357	21536	10181
1358	21545	10162
1359	21557	10144
1360	21567	10126
1361	21580	10108
1362	21591	10090
1363	21605	10074
1364	21615	10055
1365	21625	10037
1366	21636	10019
1367	21648	10001
1368	21660	9983
1369	21670	9965
1370	21682	9947
1371	21694	9930
1372	21706	9912
1373	21723	9897
1374	21736	9880
1375	21749	9863
1376	21762	9846
1377	21775	9828
1378	21784	9810
1379	21798	9793
1380	21808	9775
1381	21821	9757
1382	21833	9740
1383	21844	9722
1384	21854	9704
1385	21864	9686
1386	21874	9667
1387	21885	9649
1388	21899	9633
1389	21909	9614
1390	21922	9597
1391	21935	9580
1392	21945	9562
1393	21956	9544
1394	21965	9526
1395	21976	9508
1396	21987	9490
1397	21999	9473
1398	22010	9455
1399	22021	9437
1400	22031	9419
1401	22043	9402
1402	22056	9385
1403	22068	9367
1404	22081	9351
1405	22092	9333
1406	22103	9315
1407	22113	9297
1408	22122	9279
1409	22135	9262
1410	22147	9245
1411	22162	9228
1412	22174	9212
1413	22187	9194
1414	22200	9178
1415	22212	9161
1416	22223	9143
1417	22237	9127
1418	22247	9109
1419	22261	9092
1420	22274	9075
1421	22286	9058
1422	22299	9042
1423	22313	9025
1424	22325	9008
1425	22337	8991
1426	22349	8974
1427	22361	8957
1428	22372	8939
1429	22387	8923
1430	22399	8906
1431	22410	8889
1432	22423	8872
1433	22434	8854
1434	22446	8837
1435	22459	8821
1436	22471	8803
1437	22484	8787
1438	22494	8769
1439	22504	8751
1440	22515	8734
1441	22526	8716
1442	22539	8700
1443	22549	8682
1444	22559	8664
1445	22572	8648
1446	22586	8631
1447	22599	8615
1448	22610	8598
1449	22623	8581
1450	22634	8563
1451	22645	8546
1452	22655	8528
1453	22666	8511
1454	22677	8494
1455	22691	8478
1456	22706	8462
1457	22721	8446
1458	22735	8430
1459	22747	8413
1460	22760	8396
1461	22773	8380
1462	22782	8362
1463	22794	8345
1464	22806	8328
1465	22818	8311
1466	22831	8295
1467	22844	8278
1468	22857	8262
1469	22869	8245
1470	22884	8229
1471	22896	8212
1472	22908	8196
1473	22920	8179
1474	22935	8163
1475	22947	8146
1476	22959	8129
1477	22969	8112
1478	22981	8095
1479	22995	8079
1480	23010	8063
1481	23022	8046
1482	23036	8030
1483	23049	8014
1484	23062	7998
1485	23074	7981
1486	23084	7964
1487	23095	7946
1488	23104	7929
1489	23116	7912
1490	23131	7896
1491	23141	7879
1492	23152	7862
1493	23163	7845
1494	23176	7828
1495	23188	7812
1496	23200	7795
1497	23219	7781
1498	23230	7764
1499	23246	7748
1500	23258	7732
1501	23271	7715
1502	23281	7698
1503	23294	7682
1504	23307	7665
1505	23318	7648
1506	23329	7632
1507	23339	7614
1508	23350	7597
1509	23360	7580
1510	23372	7563
1511	23381	7546
1512	23391	7529
1513	23406	7513
1514	23418	7496
1515	23430	7480
1516	23441	7463
1517	23453	7447
1518	23469	7431
1519	23481	7415
1520	23498	7400
1521	23510	7383
1522	23521	7366
1523	23537	7351
1524	23550	7335
1525	23561	7318
1526	23572	7301
1527	23582	7284
1528	23599	7269
1529	23614	7254
1530	23626	7237
1531	23638	7221
1532	23648	7204
1533	23661	7187
1534	23674	7171
1535	23687	7155
1536	23699	7139
1537	23710	7122
1538	23721	7105
1539	23730	7088
1540	23743	7072
1541	23754	7055
1542	23769	7039
1543	23780	7023
1544	23795	7007
1545	23808	6991
1546	23819	6975
1547	23829	6957
1548	23839	6940
1549	23849	6924
1550	23859	6907
1551	23871	6890
1552	23882	6873
1553	23893	6857
1554	23902	6840
1555	23914	6823
1556	23927	6807
1557	23938	6791
1558	23950	6774
1559	23963	6758
1560	23974	6742
1561	23984	6725
1562	23994	6708
1563	24004	6691
1564	24015	6675
1565	24030	6659
1566	24043	6643
1567	24056	6627
1568	24067	6611
1569	24077	6594
1570	24088	6577
1571	24099	6561
1572	24110	6545
1573	24124	6529
1574	24141	6514
1575	24155	6498
1576	24172	6483
1577	24185	6467
1578	24200	6452
1579	24215	6436
1580	24230	6421
1581	24246	6406
1582	24260	6390
1583	24272	6374
1584	24285	6358
1585	24298	6342
1586	24311	6326
1587	24326	6311
1588	24343	6296
1589	24361	6281
1590	24383	6268
1591	24394	6251
1592	24408	6236
1593	24421	6220
1594	24436	6204
1595	24450	6189
1596	24462	6173
1597	24473	6156
1598	24485	6140
1599	24498	6124
1600	24512	6108
1601	24522	6092
1602	24533	6076
1603	24548	6060
1604	24560	6044
1605	24571	6028
1606	24586	6012
1607	24601	5997
1608	24615	5981
1609	24626	5965
1610	24640	5949
1611	24653	5933
1612	24667	5918
1613	24679	5902
1614	24694	5886
1615	24704	5870
1616	24714	5853
1617	24727	5837
1618	24742	5822
1619	24755	5806
1620	24766	5790
1621	24777	5774
1622	24788	5757
1623	24798	5741
1624	24809	5725
1625	24823	5709
1626	24835	5693
1627	24847	5677
1628	24861	5662
1629	24871	5645
1630	24884	5629
1631	24901	5615
1632	24915	5599
1633	24926	5583
1634	24937	5567
1635	24948	5550
1636	24960	5535
1637	24976	5519
1638	24989	5504
1639	24998	5487
1640	25012	5471
1641	25029	5457
1642	25041	5441
1643	25058	5426
1644	25071	5410
1645	25085	5395
1646	25096	5378
1647	25105	5362
1648	25116	5346
1649	25130	5330
1650	25142	5314
1651	25156	5299
1652	25168	5283
1653	25184	5268
1654	25194	5252
1655	25208	5236
1656	25219	5220
1657	25231	5204
1658	25256	5191
1659	25270	5175
1660	25286	5160
1661	25302	5145
1662	25313	5129
1663	25327	5114
1664	25340	5098
1665	25352	5082
1666	25364	5066
1667	25375	5050
1668	25390	5035
1669	25404	5019
1670	25415	5004
1671	25428	4988
1672	25446	4973
1673	25457	4957
1674	25468	4941
1675	25481	4926
